0060193395	0.846154
0060392452	0.5
0060514558	0.454545
0060582510	0.615385
0060761288	0.444444
0060763957	0.545455
0060875410	0.5
0060928336	0
0060930535	0.6
0060938455	0.5
0060987103	0.5
0062502182	0.666667
0066214130	0.5
0140177396	0
014028009X	0.5
014131088X	0
0142001740	0.571429
0156027321	0.5
0310205719	0.555556
0312195516	0.62963
0312278586	0.5
0312857691	0
0312864256	0.625
0312864590	0.857143
0316011770	0.571429
0316601950	0
0316666343	0.5
0316769487	0.264912
0345340426	0.231111
0345342968	0.333333
0345417623	0.0833335
0374332657	0
0375826688	0.5
038529929X	0
0385335482	0
0385337116	0.666667
0385484518	0
0385497466	0.6
038550120X	0.5
0385504209	0.5
0393317552	0.615385
0399142789	0.6
0399144463	0.625
039914563X	0.666667
039915079X	0.5
0399150897	1
0399501487	0
0425198243	0.809524
0439064864	0
0439136350	0
0439139597	0
043935806X	0
0439784549	0.5
0440212561	0.631579
0440219078	0
0440414806	0
0446310786	0.428571
044652252X	0.833333
0446532231	0.5
0446608955	0
0446672211	0
0446677450	0.7
0449004023	0.75
0451191145	0.5
0451524934	0.333333
0451526341	0
0525947647	0.666667
0553272535	0
0553375407	0.5
0553573403	0.517647
0590353403	0
059035342X	0
0609610597	0.8
0671021001	0
0671025368	0.25
0671027344	0
0671027360	0.5
0671524313	0.571429
0679444815	0.5
0679735771	0.392308
0679781587	0
0684801523	0.333333
068484267X	0.0909091
0689817851	0
0743222245	0.5
0785263535	0.509281
0786868716	0.658334
0812511816	0.5
0812548051	0.5
0812550706	0
0842329129	0.428571
0895260174	0.633803
0895261901	0.545455
0971453209	0.583333
0975599518	0.681818
1400046610	0.520331
1400050308	0.47619
1558743669	0
1576734587	0.6
1594480001	0.75
