5	4	6	0.833333
1	4	1	1
58	5	62	0.935484
0	4	0	0
5	4	5	1
0	4	0	0
12	5	13	0.923077
11	4	11	1
0	4	0	0
0	5	0	0
0	4	0	0
0	3	0	0
0	5	0	0
2	4	2	1
3	5	3	1
0	4	0	0
6	4	7	0.857143
0	4	0	0
0	4	0	0
9	4	11	0.818182
4	4	4	1
71	4	76	0.934211
6	5	6	1
22	5	23	0.956522
3	4	3	1
5	4	5	1
6	5	6	1
0	5	0	0
0	4	0	0
9	4	10	0.9
2	5	2	1
0	5	0	0
4	4	4	1
1	4	2	0.5
1	4	1	1
0	5	0	0
1	4	1	1
1	5	1	1
5	5	5	1
1	5	1	1
4	4	4	1
0	4	0	0
1	4	1	1
1	4	1	1
0	3	0	0
0	5	0	0
1	5	1	1
0	4	0	0
1	5	1	1
1	4	2	0.5
0	5	0	0
1	5	1	1
3	4	4	0.75
1	5	1	1
1	5	1	1
1	5	1	1
4	5	4	1
0	4	0	0
2	5	2	1
2	4	2	1
1	5	1	1
1	3	1	1
0	4	0	0
2	5	2	1
3	5	3	1
1	5	1	1
4	4	4	1
0	5	0	0
1	4	1	1
1	5	1	1
3	4	3	1
1	5	1	1
1	4	1	1
4	4	4	1
1	4	1	1
0	4	0	0
8	5	8	1
1	3	1	1
23	5	24	0.958333
11	4	12	0.916667
2	4	2	1
2	5	2	1
2	4	2	1
2	5	2	1
0	5	0	0
2	5	2	1
0	5	0	0
5	4	5	1
0	5	0	0
0	5	0	0
0	4	0	0
0	5	0	0
0	5	0	0
1	5	1	1
1	4	1	1
4	5	4	1
0	4	0	0
1	4	1	1
9	5	9	1
0	5	0	0
0	3	0	0
5	4	5	1
1	4	1	1
2	5	2	1
6	4	6	1
3	5	4	0.75
0	4	0	0
58	5	63	0.920635
2	4	2	1
1	4	2	0.5
8	4	9	0.888889
1	4	1	1
1	4	1	1
4	5	6	0.666667
5	4	5	1
14	4	14	1
12	4	14	0.857143
2	4	2	1
3	5	3	1
1	5	1	1
5	5	5	1
7	5	7	1
1	5	1	1
2	3	2	1
1	5	2	0.5
18	5	18	1
3	5	3	1
2	5	2	1
2	4	2	1
44	4	53	0.830189
0	4	0	0
8	3	11	0.727273
13	4	13	1
14	5	14	1
4	3	7	0.571429
37	5	39	0.948718
0	4	0	0
1	4	1	1
1	4	1	1
3	5	3	1
5	4	5	1
0	5	0	0
7	5	7	1
3	4	4	0.75
1	5	1	1
4	4	4	1
5	4	6	0.833333
1	4	1	1
2	5	2	1
10	4	13	0.769231
1	4	1	1
5	4	5	1
6	4	7	0.857143
3	5	3	1
0	4	0	0
9	5	12	0.75
5	5	6	0.833333
2	4	2	1
5	5	6	0.833333
5	4	6	0.833333
17	5	18	0.944444
2	4	3	0.666667
3	4	4	0.75
3	5	3	1
5	4	6	0.833333
6	5	6	1
6	4	7	0.857143
9	4	9	1
3	5	3	1
4	5	4	1
5	4	5	1
5	5	5	1
7	4	7	1
7	5	8	0.875
8	5	9	0.888889
9	5	10	0.9
62	4	66	0.939394
34	5	34	1
19	4	19	1
17	5	17	1
3	4	4	0.75
13	4	14	0.928571
1	4	2	0.5
76	5	78	0.974359
4	5	5	0.8
28	4	30	0.933333
1	5	1	1
6	5	6	1
12	4	13	0.923077
10	4	10	1
8	4	8	1
210	5	227	0.92511
18	4	19	0.947368
33	4	36	0.916667
15	5	15	1
16	4	19	0.842105
1	4	1	1
41	4	42	0.97619
7	4	9	0.777778
6	5	7	0.857143
1	5	1	1
0	5	0	0
5	4	7	0.714286
0	4	0	0
2	5	2	1
16	4	16	1
1	5	1	1
13	4	13	1
52	4	53	0.981132
1	5	1	1
42	4	45	0.933333
5	5	5	1
8	4	11	0.727273
19	5	19	1
3	5	3	1
129	5	131	0.984733
5	5	5	1
13	5	14	0.928571
11	5	11	1
5	4	5	1
2	5	2	1
28	5	31	0.903226
10	4	11	0.909091
9	5	9	1
22	5	23	0.956522
56	4	59	0.949153
47	5	47	1
3	4	3	1
34	4	38	0.894737
6	5	6	1
56	5	58	0.965517
16	5	17	0.941176
60	4	65	0.923077
24	4	24	1
55	4	56	0.982143
47	4	50	0.94
90	5	94	0.957447
2	4	4	0.5
34	5	36	0.944444
45	4	49	0.918367
7	4	7	1
2	5	2	1
4	5	6	0.666667
18	4	20	0.9
92	5	94	0.978723
1	5	1	1
96	4	105	0.914286
5	2	5	1
8	4	9	0.888889
10	5	10	1
2	5	2	1
3	5	3	1
260	5	299	0.869565
2	4	2	1
1	5	1	1
16	5	16	1
0	4	0	0
1	4	2	0.5
11	4	12	0.916667
11	4	12	0.916667
30	5	32	0.9375
3	4	4	0.75
35	5	36	0.972222
1	3	1	1
3	5	3	1
2	3	2	1
82	5	83	0.987952
1	5	1	1
45	5	51	0.882353
4	5	5	0.8
11	5	12	0.916667
49	4	56	0.875
16	5	16	1
6	4	8	0.75
11	4	13	0.846154
8	4	8	1
7	5	7	1
2	5	2	1
14	5	14	1
7	4	7	1
5	4	6	0.833333
34	5	34	1
10	4	10	1
0	5	0	0
20	5	20	1
5	4	5	1
83	4	89	0.932584
1	4	1	1
15	5	16	0.9375
12	4	12	1
2	4	2	1
8	4	8	1
3	5	3	1
26	4	26	1
2	4	5	0.4
1	5	1	1
2	5	2	1
3	4	3	1
1	5	2	0.5
20	5	20	1
15	4	15	1
3	5	3	1
4	5	4	1
6	3	6	1
2	4	2	1
0	5	0	0
7	4	7	1
7	5	7	1
6	4	7	0.857143
17	4	20	0.85
0	4	0	0
1	5	1	1
3	5	3	1
4	4	4	1
4	5	4	1
14	4	14	1
11	4	14	0.785714
0	5	0	0
9	5	9	1
2	4	2	1
10	5	11	0.909091
48	5	49	0.979592
21	5	22	0.954545
25	5	27	0.925926
12	5	15	0.8
127	5	131	0.969466
0	5	0	0
8	5	8	1
14	5	14	1
1	5	1	1
27	4	29	0.931034
18	4	20	0.9
2	5	2	1
7	5	7	1
2	5	2	1
4	4	4	1
10	5	10	1
1	4	1	1
2	4	2	1
262	4	267	0.981273
193	5	201	0.960199
3	5	3	1
33	4	39	0.846154
0	5	0	0
15	5	15	1
85	4	86	0.988372
14	4	16	0.875
6	5	7	0.857143
15	4	17	0.882353
8	5	8	1
11	5	12	0.916667
14	4	14	1
15	5	15	1
3	4	3	1
3	5	3	1
0	5	0	0
6	5	7	0.857143
1	4	3	0.333333
26	4	30	0.866667
9	4	10	0.9
42	5	48	0.875
3	4	3	1
8	5	8	1
16	4	16	1
15	5	15	1
3	4	3	1
4	5	6	0.666667
6	4	8	0.75
64	4	66	0.969697
332	5	358	0.927374
36	4	39	0.923077
8	4	8	1
4	4	5	0.8
4	5	4	1
14	4	16	0.875
9	5	9	1
2	4	3	0.666667
3	4	3	1
21	4	23	0.913043
5	5	6	0.833333
13	4	13	1
10	4	10	1
3	5	3	1
9	5	9	1
3	4	3	1
3	5	4	0.75
18	5	21	0.857143
1	4	4	0.25
123	5	129	0.953488
5	4	6	0.833333
10	4	11	0.909091
98	5	100	0.98
13	4	13	1
13	4	15	0.866667
7	4	7	1
50	5	52	0.961538
6	4	6	1
10	5	11	0.909091
35	4	35	1
20	5	23	0.869565
42	4	45	0.933333
22	4	23	0.956522
7	4	8	0.875
11	4	12	0.916667
7	4	7	1
19	3	19	1
15	5	16	0.9375
45	4	51	0.882353
8	5	8	1
6	5	6	1
10	4	10	1
24	4	27	0.888889
10	3	11	0.909091
13	5	13	1
144	4	156	0.923077
3	4	3	1
21	5	22	0.954545
20	4	20	1
55	5	57	0.964912
18	4	21	0.857143
22	5	26	0.846154
8	4	10	0.8
31	4	32	0.96875
10	4	11	0.909091
27	4	35	0.771429
5	4	5	1
5	4	5	1
14	5	14	1
12	4	13	0.923077
7	5	7	1
5	4	5	1
34	4	35	0.971429
8	5	8	1
11	5	11	1
5	4	5	1
44	5	46	0.956522
12	5	12	1
13	4	13	1
113	5	118	0.957627
24	4	25	0.96
0	4	1	0
12	5	12	1
